id,sentence
6264207654187296241_00001,THEY WERE FIRST INTRODUCED IN AND AROUND OUR COUNTRY MORE THAN 20 YEARS AGO
6264207654187296241_00002,ACTUALLY YEAH AND TECHNICALLY WE'RE ABOUT ON THE CUSP OF THE BORDERLINE BETWEEN LOWLAND HEATHLAND AND
6264207654187296241_00004,IT HAS BEEN CREATED OVER THOUSANDS OF YEARS ORIGINALLY BY LARGE MAMMALS LIKE THESE
6264207654187296241_00005,OF ANIMALS SO THEREFORE YOU NEED TO GRAZE MORE INTENSELY IT IS
6264207654187296241_00006,GRAZING BY THE COMMONERS JUST CONTINUED THAT PROCESS AND WE ARE JUST THE NEXT STEP IN THAT
6264207654187296241_00007,YEARS THEY'VE BEEN SHARING THEIR TERRITORY WITH ANOTHER MORE MECHANICAL CREATURE
6264207654187296241_00008,UK'S OFFSHORE CAPACITY AND SUPPORTERS CLAIM BRING IN CLOSE TO 6 BILLION OF INVESTMENT BUT WITH THEM COME FRESH CONCERNS ABOUT THREATS TO
6264207654187296241_00009,YOU DO AND HOW DID YOU DO IT SO WHAT WE'RE DOING WAS
6264207654187296241_00012,OF RENEWABLE ENERGY WE SEE THAT AS PART OF OUR MITIGATION OF CLIMATE
6264207654187296241_00014,OVER TEN YEARS AND IN THAT TIME WE HAVEN'T UNDERTAKEN DECENT POST CONSTRUCTION MONITORING TO ANSWER SIMPLE QUESTIONS FOR THE NEXT
6264207654187296241_00015,FROM AS FAR AS 6KM OUT BUT WHEN IT BECOMES WITHIN ABOUT 1KM
6264207654187296241_00017,THE 120 ACRES OF MARSHLAND HERE ARE PART OF THE GROUNDS OF WEST RISE JUNIOR SCHOOL IT'S A REGULAR STATE RUN SCHOOL
6264207654187296241_00019,TO START TO LOOK AT THE BRONZE AGE AND EXPLORE HISTORY USING
6264207654187296241_00020,AREN'T YOU HELEN WHAT DOES THAT MEAN THIS IS JUST MARSHLAND NOT FOREST IT'S TRUE BUT FOREST SCHOOL IS ACTUALLY
6264207654187296241_00021,ENGLISH THINGS LIKE THAT AND USE THE MARSHLAND TO MAKE IT MORE INTERESTING
6264207654187296241_00024,CAN ACTUALLY PUT THEIR FINGERPRINTS INTO THIS POT AND ALMOST BE TRAVELLING BACK IN TIME CONNECTED TO THE PAST
6264207654187296241_00026,IT IDEAL FOR A HOST OF WILDLIFE PARTICULARLY HERE AT THIS
6264207654187296241_00029,YOU KNOW WITH BIG MATURE TREES PLENTY OF DEAD WOOD YOU KNOW THAT KIND OF
6264207654187296241_00031,AFTER A ALONG WET WINDY WINTER IT IS A WELCOME SOUND AND ONE THAT I LOVE THAT THIS
6264207654187296241_00032,FOR AN HOUR AN HOUR AND HALF NOT REALLY KNOWING WHAT I WAS DOING BUT JUST DOING LITTLE JOBS IT WAS A BIG RELEASE FOR ME IN TERMS OF YOU KNOW I WASN'T THINKING ABOUT CRICKET 24
6264207654187296241_00034,WHICH THINK MY DAD AND ALL THE LOCAL FARMERS TOOK A HUGE AMOUNT OF CREDIT
6264207654187296241_00038,CRICKET AND FARMING AT THE SAME TIME THAT WOULD BE ABSOLUTELY IDEAL FOR
6264207654187296241_00039,IT IS NOT ALL ABOUT GROWING CROPS AND ANIMALS THIS FARM IS BEING USED TO MAKE A DIFFERENCE TO PEOPLE'S LIVES
6264207654187296241_00040,UP IN THE NETHERLANDS AND MY MUM EXPERIENCED AN HORRENDOUS EXPERIENCE DURING THE SECOND WORLD WAR
6264207654187296241_00041,YOUR MUM SUFFERED SO MUCH DURING THE SECOND WORLD WAR SHE WAS ALMOST A REFUGEE HERSELF YOU DECIDED TO HELP THE PEOPLE
6264207654187296241_00042,PEOPLE HAD BUSINESSES THEY WERE FARMERS
6264207654187296241_00044,NIGHT PEOPLE SHOOTING PEOPLE AND PEOPLE MISSING PEOPLE KIDNAPPERS AND THAT'S WHY I COME TO HERE
6264207654187296241_00047,WHO HAVE BEEN THROUGH A LOT OF TRAUMAS AND DIFFICULTIES IT HAS A REAL POSITIVE PSYCHOLOGICAL BENEFIT
6264207654187296241_00049,FOR THE REFUGEES TO TAKE BACK HOME WONDERFUL AND I THINK JUST ON A PERSONAL LEVEL IT REMINDS ME OF STORIES FROM MY MUM WHERE FARMERS AND PEOPLE IN THE COUNTRYSIDE HELPED HER AND HER FAMILY TO SURVIVE SO I THINK THIS IS JUST A GESTURE VERY FITTING ISN'T IT
6264207654187296241_00052,TO ASK ABOUT THE RELATIONSHIP AND HOW YOU THEN WORK WITH YOU FARMERS THAT ARE LOOKING AFTER YOUR PROPERTIES BUT I THINK
6264207654187296241_00055,ALL TIES IN WITH THE TRUST AND THE FOREST AND EVERYTHING ELSE
6264207654187296241_00056,THE POOH THESE WOODS WERE HOME TO POOH EEYORE PIGLET AND TIGGER AND IT WAS HERE THAT THEY PLAYED WITH A LITTLE BOY CALLED CHRISTOPHER ROBIN
